"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","direction","comparison"
"GO:0009206","purine ribonucleoside triphosphate biosynthetic process",0.0120575050239604,0.00443062572872134,0.684210526315789,2.72140003742545,10.675032106285,2.80245256677614e-22,3.18478716695774e-20,2.12817826499541e-20,"Ndufs2/Ndufa9/Ndufa11/Letmd1/Ndufb10/Stoml2/Atp5mc1/Atp5f1b/Ndufa7/Cox11/Ndufs3/Bcl2l1/mt-Atp6/Ndufs7/Atp5f1d/Fam3a/Sdhb/Uqcc3/Sdhc/Atp5pf/Stat3/Ndufa8/Vcp/Atp5f1a/mt-Nd4/Atp5mc2/Aldoa/mt-Nd4l/Ndufs1/Sdha/mt-Nd2/Ndufb7/Impdh2/Ndufb4/Ndufv2/Impdh1/Atp5mc3/Ndufa3/Ndufb6/Ndufb8/mt-Nd1/Atp5mf/mt-Atp8/Atp5if1/Dmac2l/Trem2/Ndufb2/Atp5f1c/Sdhd/Ndufa2/Ndufs8/Atp5pb/Ndufb9/Pnp/Ndufb1/Ndufc1/Nme7/Tmsb4x/Antkmt/Nme3/Atp5pd/Ndufa12/Ndufs4/Ndufb3/Nme1/Atp5f1e/Atp5mg/Ndufs5/Ndufa1/Map2k1/Ndufs6/Ndufa13/Ndufa5/Atp5me/Ndufc2/Ndufb11/Nudt2/Nme5",78,"Down","Oil - TP"
"GO:0035082","axoneme assembly",0.0119029216262173,0.00450835600466382,0.663793103448276,2.640191150367,10.2606617208993,9.16554350039348e-21,8.33278840521487e-19,5.5682399611413e-19,"Lrguk/Tbc1d32/Cfap44/Cfap46/Dnah7b/Ift88/Bbs2/Ttll1/Ofd1/Tekt2/Cfap100/Dnaaf2/Dnah1/Ttll3/Dnaaf5/Cluap1/Spag6l/Ttll5/Spef1/Dnah5/Fsip1/Dnah12/Ube2b/Dnaaf4/Ift46/Pierce2/Neurl1a/Dnal1/Cfap69/Tpgs1/Cfap65/Stk36/Armc2/Dnaaf11/Cfap74/Ccdc39/Ttll8/Cfap206/Odad1/Rsph9/Cfap43/Dnai1/Hydin/Odad4/Clxn/Ccdc65/Spag16/Ulk4/Lrrc23/Odad3/Dnaaf10/Dnai4/Ccdc40/Drc1/Ttc12/Ccdc146/Mns1/Dnai2/Zmynd10/Drc7/Rsph4a/Cfap91/Daw1/Dnaaf3/Iqcg/Ccdc13/Spef2/Dnah7a/Ak7/Dnajb13/Cfap57/Meig1/Pierce1/Dnai3/Lrrc46/Rsph1/Foxj1",77,"Down","Oil - TP"
"GO:0022900","electron transport chain",0.0115937548307312,0.00411970462495142,0.707547169811321,2.81421992259163,10.8470093624603,6.92220384747338e-23,9.3729585713448e-21,6.26331546333537e-21,"Ndufs2/Uqcrc1/Cox6a1/Gba1/Bid/Ndufa11/Enox2/Mtch2/Snca/Uqcr10/Etfdh/Cyc1/Sdhaf2/Fdx1/Sod2/Cox4i1/Ndufa7/mt-Co1/Ndufs3/Pum2/Aifm2/Ndufs7/Sdhb/Uqcc3/Sdhc/Ndufa8/mt-Cytb/mt-Nd4/Aifm1/mt-Nd4l/Ndufs1/Sdha/Dld/mt-Nd2/Cox5b/Dnajc15/Ndufaf1/Ndufv2/Fdx2/Ndufb6/Ndufb8/Cox7a2l/Por/Park7/mt-Nd1/Cycs/Uqcrq/Uqcrh/mt-Co3/Pink1/Uqcrc2/Coq9/mt-Co2/Sdhd/Ndufs8/Thap11/Etfa/Coq7/Ndufb9/Ndufa12/Ndufs4/Cox8a/Ndufb3/Cox7c/Cox7b/Uqcrb/Chchd2/Ccnb1/Ndufs6/Ndufa5/Cox7a2/Ndufc2/Cdk1/Uqcrfs1/Etfb",75,"Down","Oil - TP"
"GO:0007006","mitochondrial membrane organization",0.0115937548307312,0.00454722114263506,0.641025641025641,2.54963514354456,9.7360495739714,6.31021236241032e-19,4.56343084936128e-17,3.04943276843752e-17,"Ppm1k/Ghitm/Bid/Timm9/Oxa1l/Mtch2/Siva1/Dnajc11/Hk2/Snca/Them4/Timm50/Timm8a1/Gclc/Tomm70a/Slc35f6/Mul1/Adck1/Pex5/Bcl2l1/Micu1/Bloc1s2/Uqcc3/Hip1r/Stat3/Letm1/Samm50/Bok/Rhot1/Bcs1l/Bcl2l2/Vdac2/Pmaip1/Immt/Calm3/Micos10/Gsk3a/Slc25a4/Slc25a5/Camk2a/Timm29/Mtch1/Tomm40/Tmem11/Trmt10b/Atf2/Atp5if1/Pink1/Tomm22/Bax/Slc25a46/Chchd6/Mpv17l/Timm13/Calm2/Apoo/Nme3/Bnip3l/Fzd9/Calm1/Timm22/Micos13/Moap1/Timm10/Cibar1/Cnp/Ndufa13/Apool/Romo1/Chchd3/Bnip3/Alkbh7/Hspa1a/Tmem126a/Dynlt1b",75,"Down","Oil - TP"
"GO:0072655","establishment of protein localization to mitochondrion",0.0114391714329881,0.00408083948698018,0.704761904761905,2.80314172353127,10.7295915253342,1.96664951983003e-22,2.27559228076333e-20,1.52062470050016e-20,"Pam16/Bid/Timm9/Grpel2/Oxa1l/Akt1/Dnajc19/Timm17a/Mtch2/Ptpn5/Bag4/Hk2/Gdap1/Rala/Timm50/Timm8a1/Tomm70a/Tomm34/Pmpcb/Hspa4/Hk1/Dusp18/Pmpca/Samm50/Sirt4/Bbc3/Bcs1l/Aifm1/Ywhaz/Mff/Pmaip1/Calm3/Fbxw7/Gsk3a/Dnaja1/Timm23/Ddit3/Dnajc15/Timm17b/Ppp2r2b/Hspd1/Timm29/Mtch1/Dnlz/Tomm20/Tomm40/Hsph1/Gfer/Chchd4/Trmt10b/Atp5if1/Pink1/Tomm22/Bax/Pin1/Bcap31/Timm13/Calm2/Mipep/Fis1/Bnip3l/Calm1/Timm22/Grpel1/Moap1/Timm10/Ndufa13/Hsp90aa1/Romo1/Tomm5/Tomm7/Immp1l/Tmem126a/Aip",74,"Down","Oil - TP"
"GO:0006754","ATP biosynthetic process",0.0109754212397589,0.0040031092110377,0.689320388349515,2.74172416018442,10.2645453423978,1.06872618160844e-20,9.44635197188348e-19,6.31235931827206e-19,"Ndufs2/Ndufa9/Ndufa11/Letmd1/Ndufb10/Stoml2/Atp5mc1/Atp5f1b/Ndufa7/Cox11/Ndufs3/Bcl2l1/mt-Atp6/Ndufs7/Atp5f1d/Fam3a/Sdhb/Uqcc3/Sdhc/Atp5pf/Stat3/Ndufa8/Vcp/Atp5f1a/mt-Nd4/Atp5mc2/Aldoa/mt-Nd4l/Ndufs1/Sdha/mt-Nd2/Ndufb7/Ndufb4/Ndufv2/Atp5mc3/Ndufa3/Ndufb6/Ndufb8/mt-Nd1/Atp5mf/mt-Atp8/Atp5if1/Dmac2l/Trem2/Ndufb2/Atp5f1c/Sdhd/Ndufa2/Ndufs8/Atp5pb/Ndufb9/Ndufb1/Ndufc1/Tmsb4x/Antkmt/Atp5pd/Ndufa12/Ndufs4/Ndufb3/Atp5f1e/Atp5mg/Ndufs5/Ndufa1/Map2k1/Ndufs6/Ndufa13/Ndufa5/Atp5me/Ndufc2/Ndufb11/Nudt2",71,"Down","Oil - TP"
"GO:0042274","ribosomal small subunit biogenesis",0.0109754212397589,0.00415856976292266,0.663551401869159,2.63922979905603,9.84707746301586,3.03273302421993e-19,2.24422243792275e-17,1.49966235224584e-17,"Mettl17/Nom1/Wdr43/Wdr36/Utp23/Rcl1/Rps19bp1/Nop14/Rrp7a/Bysl/Nol11/Utp11/Nop9/Srfbp1/Krr1/Dimt1/Rps4x/Ak6/Rrp36/Rps7/Rrp9/Rps16/Fsaf1/Utp18/Rps13/Rps12/Ercc2/Rps8/Gtf2h5/Mcat/Abt1/Fcf1/Rps19/Rpsa/Rps10/Rps9/Rps6/Emg1/Mphosph10/Fau/Lsm6/Ddx52/Xrcc5/Utp3/Eral1/Utp6/Rps15a/Imp3/Rps14/Trmt112/Rpp40/Rps24/Rps28/Rps5/Rps27a/Rps3a1/Ltv1/Rps15/Fbl/Rps27l/Ngdn/Rps25/Npm1/Tsr2/Rcc1l/Nol7/Rps27/Rps21/Snu13/Rps23/Rps17",71,"Down","Oil - TP"
"GO:0022904","respiratory electron transport chain",0.0106662544442727,0.00376991838321026,0.711340206185567,2.82930646238285,10.4607598114836,2.21535109999113e-21,2.13613551520357e-19,1.42743515852698e-19,"Ndufs2/Uqcrc1/Cox6a1/Gba1/Bid/Ndufa11/Mtch2/Snca/Uqcr10/Etfdh/Cyc1/Sdhaf2/Sod2/Cox4i1/Ndufa7/mt-Co1/Ndufs3/Pum2/Aifm2/Ndufs7/Sdhb/Uqcc3/Sdhc/Ndufa8/mt-Cytb/mt-Nd4/Aifm1/mt-Nd4l/Ndufs1/Sdha/Dld/mt-Nd2/Cox5b/Dnajc15/Ndufaf1/Ndufv2/Ndufb6/Ndufb8/Cox7a2l/Park7/mt-Nd1/Cycs/Uqcrq/Uqcrh/mt-Co3/Pink1/Uqcrc2/Coq9/mt-Co2/Sdhd/Ndufs8/Etfa/Coq7/Ndufb9/Ndufa12/Ndufs4/Cox8a/Cox7c/Cox7b/Uqcrb/Chchd2/Ccnb1/Ndufs6/Ndufa5/Cox7a2/Ndufc2/Cdk1/Uqcrfs1/Etfb",69,"Down","Oil - TP"
"GO:0033108","mitochondrial respiratory chain complex assembly",0.0102025042510434,0.00376991838321026,0.680412371134021,2.70629313793142,9.75731680334911,7.17113063140572e-19,5.12776127396247e-17,3.42653669436772e-17,"Ndufs2/Uqcrc1/Oxa1l/Tmem242/Eif2s1/Higd2a/Slc25a33/Rab5if/Atf4/Acad9/Sdhaf2/Tfam/Ndufaf6/Tmem70/Eif2ak3/Atpaf2/Ndufs3/Coa3/Ndufs7/Atp5f1d/Ociad2/Uqcc3/Cep89/Ndufaf4/Cox19/mt-Nd4/Bcs1l/Coa5/Aifm1/Ndufs1/Tmem126b/Uqcc1/Ndufaf2/mt-Nd2/Ndufaf1/Timmdc1/Uqcc2/Surf1/Cox7a2l/mt-Nd1/Fmc1/Chchd4/Ndufaf5/Higd1a/Ndufaf7/Ndufs8/Pet100/Uqcc6/Nubpl/Ndufs4/Ndufaf3/Tmem223/Sdhaf3/Sdhaf4/Ndufs5/Cox20/Ndufs6/Ndufa13/Uqcc4/Dmac1/Ndufc2/Lyrm2/Coa6/Chchd7/Cox16/Tmem126a",66,"Down","Oil - TP"
"GO:0015986","proton motive force-driven ATP synthesis",0.00896583706909878,0.00275942479595803,0.816901408450704,3.24916884208326,10.9982093701846,2.06128950483576e-23,3.2795116021937e-21,2.19147621040434e-21,"Ndufs2/Ndufa9/Ndufa11/Ndufb10/Stoml2/Atp5mc1/Atp5f1b/Ndufa7/Ndufs3/mt-Atp6/Ndufs7/Atp5f1d/Sdhb/Sdhc/Atp5pf/Ndufa8/Atp5f1a/mt-Nd4/Atp5mc2/mt-Nd4l/Ndufs1/Sdha/mt-Nd2/Ndufb7/Ndufb4/Ndufv2/Atp5mc3/Ndufa3/Ndufb6/Ndufb8/mt-Nd1/Atp5mf/mt-Atp8/Atp5if1/Ndufb2/Atp5f1c/Sdhd/Ndufa2/Ndufs8/Atp5pb/Ndufb9/Ndufb1/Ndufc1/Antkmt/Atp5pd/Ndufa12/Ndufs4/Ndufb3/Atp5f1e/Atp5mg/Ndufs5/Ndufa1/Ndufs6/Ndufa13/Ndufa5/Atp5me/Ndufc2/Ndufb11",58,"Down","Oil - TP"
"GO:0042773","ATP synthesis coupled electron transport",0.00896583706909878,0.0030314807617567,0.743589743589744,2.95757676651169,10.0345084059807,9.80132339959873e-20,7.79695276438079e-18,5.21017717557617e-18,"Ndufs2/Uqcrc1/Cox6a1/Bid/Ndufa11/Mtch2/Snca/Uqcr10/Cyc1/Sdhaf2/Cox4i1/Ndufa7/Ndufs3/Ndufs7/Sdhb/Uqcc3/Sdhc/Ndufa8/mt-Cytb/mt-Nd4/mt-Nd4l/Ndufs1/Sdha/Dld/mt-Nd2/Cox5b/Dnajc15/Ndufaf1/Ndufv2/Ndufb6/Ndufb8/Cox7a2l/Park7/mt-Nd1/Cycs/Uqcrq/Uqcrh/mt-Co3/Pink1/Uqcrc2/Coq9/mt-Co2/Sdhd/Ndufs8/Coq7/Ndufb9/Ndufa12/Cox8a/Cox7c/Cox7b/Uqcrb/Chchd2/Ccnb1/Ndufs6/Cox7a2/Ndufc2/Cdk1/Uqcrfs1",58,"Down","Oil - TP"
"GO:0042775","mitochondrial ATP synthesis coupled electron transport",0.00865667027361261,0.00295375048581422,0.736842105263158,2.9307385018428,9.76884731057976,8.67286513397199e-19,6.13267930139975e-17,4.09805557207566e-17,"Ndufs2/Uqcrc1/Cox6a1/Bid/Ndufa11/Mtch2/Snca/Uqcr10/Cyc1/Sdhaf2/Cox4i1/Ndufa7/Ndufs3/Ndufs7/Sdhb/Uqcc3/Sdhc/Ndufa8/mt-Cytb/mt-Nd4/Ndufs1/Sdha/Dld/mt-Nd2/Cox5b/Dnajc15/Ndufaf1/Ndufv2/Ndufb6/Ndufb8/Cox7a2l/Park7/mt-Nd1/Cycs/Uqcrq/Uqcrh/mt-Co3/Pink1/Uqcrc2/Coq9/Sdhd/Ndufs8/Coq7/Ndufb9/Ndufa12/Cox8a/Cox7c/Cox7b/Uqcrb/Chchd2/Ccnb1/Ndufs6/Cox7a2/Ndufc2/Cdk1/Uqcrfs1",56,"Down","Oil - TP"
