"direction","geneID","gene_count","rank","gene_description","treatgo_descriptions","logFC","P.Value","chr"
"Up","Nrp1",63,1,"neuropilin 1","regulation of neurogenesis; small GTPase-mediated signal transduction; forebrain development; positive regulation of cell projection organization; actin filament organization; sensory system development; visual system development; eye development; phosphorylation; regulation of cell growth; positive regulation of nervous system development; regulation of developmental growth; renal system development; cell-substrate adhesion; regulation of cellular component size; regulation of cell junction assembly; regulation of actin filament-based process; kidney development; epithelial tube morphogenesis; camera-type eye development; regulation of supramolecular fiber organization; postsynapse organization; dendrite development; developmental growth involved in morphogenesis; regulation of cellular response to growth factor stimulus; developmental cell growth; positive regulation of neurogenesis; negative regulation of locomotion; regulation of actin cytoskeleton organization; mesenchyme development; axon guidance; neuron projection guidance; positive regulation of growth; regulation of small GTPase mediated signal transduction; heart morphogenesis; ameboidal-type cell migration; central nervous system neuron differentiation; mesenchymal cell differentiation; regulation of actin filament organization; cell-matrix adhesion; regulation of cell-substrate adhesion; endothelial cell migration; negative regulation of cell projection organization; morphogenesis of a branching structure; actomyosin structure organization; neuron projection extension; regulation of cell size; positive regulation of developmental growth; neuron migration; regulation of axonogenesis; dendrite morphogenesis; cardiac chamber development; negative regulation of neuron projection development; negative regulation of nervous system development; Rho protein signal transduction; axon extension; regulation of extent of cell growth; artery development; cell-substrate junction organization; contractile actin filament bundle assembly; stress fiber assembly; cell-substrate junction assembly; regulation of axon extension",0.198271969344145,0.2175,"8"
"Up","Wnt5a",58,2,"wingless-type MMTV integration site family, member 5A","regulation of neurogenesis; small GTPase-mediated signal transduction; forebrain development; positive regulation of cell projection organization; regulation of synapse structure or activity; regulation of synapse organization; regulation of cell growth; positive regulation of nervous system development; regulation of developmental growth; renal system development; Wnt signaling pathway; regulation of cellular component size; regulation of cell junction assembly; kidney development; epithelial tube morphogenesis; postsynapse organization; synapse assembly; dendrite development; developmental growth involved in morphogenesis; regulation of cellular response to growth factor stimulus; developmental cell growth; positive regulation of neurogenesis; negative regulation of locomotion; telencephalon development; mesenchyme development; connective tissue development; axon guidance; neuron projection guidance; positive regulation of growth; regulation of small GTPase mediated signal transduction; regulation of cell morphogenesis; heart morphogenesis; ameboidal-type cell migration; respiratory system development; response to transforming growth factor beta; central nervous system neuron differentiation; regulation of transmembrane receptor protein serine/threonine kinase signaling pathway; mesenchymal cell differentiation; respiratory tube development; lung development; regulation of synapse assembly; endothelial cell migration; negative regulation of cell projection organization; positive regulation of neuron projection development; morphogenesis of a branching structure; neuron projection extension; regulation of cell size; positive regulation of developmental growth; regulation of axonogenesis; dendrite morphogenesis; regulation of postsynapse organization; cardiac chamber development; negative regulation of neuron projection development; negative regulation of nervous system development; axon extension; regulation of extent of cell growth; postsynapse assembly; regulation of axon extension",0.0671425242687818,0.449,"14"
"Up","Vegfa",50,3,"vascular endothelial growth factor A","regulation of neurogenesis; positive regulation of cell projection organization; striated muscle tissue development; muscle cell differentiation; sensory system development; visual system development; eye development; phosphorylation; regulation of cell growth; positive regulation of nervous system development; regulation of developmental growth; renal system development; cell-substrate adhesion; regulation of cellular component size; regulation of cell junction assembly; kidney development; epithelial tube morphogenesis; camera-type eye development; protein phosphorylation; developmental growth involved in morphogenesis; regulation of cellular response to growth factor stimulus; developmental cell growth; positive regulation of neurogenesis; mesenchyme development; axon guidance; neuron projection guidance; positive regulation of growth; regulation of cell morphogenesis; heart morphogenesis; ameboidal-type cell migration; respiratory system development; mesenchymal cell differentiation; respiratory tube development; cell-matrix adhesion; lung development; vascular process in circulatory system; regulation of cell-substrate adhesion; endothelial cell migration; morphogenesis of a branching structure; neuron projection extension; regulation of cell size; positive regulation of developmental growth; neuron migration; regulation of axonogenesis; axon extension; regulation of extent of cell growth; artery development; cell-substrate junction organization; cell-substrate junction assembly; regulation of axon extension",0.0603736839168283,0.795,"17"
"Up","Notch1",48,4,"notch 1","regulation of neurogenesis; small GTPase-mediated signal transduction; forebrain development; striated muscle tissue development; muscle cell differentiation; sensory system development; visual system development; eye development; positive regulation of nervous system development; regulation of developmental growth; renal system development; Wnt signaling pathway; cell-substrate adhesion; kidney development; epithelial tube morphogenesis; camera-type eye development; gliogenesis; developmental growth involved in morphogenesis; regulation of cellular response to growth factor stimulus; extracellular matrix organization; external encapsulating structure organization; extracellular structure organization; positive regulation of neurogenesis; negative regulation of locomotion; mesenchyme development; connective tissue development; negative regulation of cell motility; axon guidance; neuron projection guidance; negative regulation of cell migration; positive regulation of growth; regulation of small GTPase mediated signal transduction; heart morphogenesis; respiratory system development; central nervous system neuron differentiation; regulation of transmembrane receptor protein serine/threonine kinase signaling pathway; mesenchymal cell differentiation; respiratory tube development; lung development; regulation of cell-substrate adhesion; endothelial cell migration; regulation of neuron differentiation; morphogenesis of a branching structure; positive regulation of developmental growth; cardiac chamber development; negative regulation of nervous system development; artery development; aorta development",0.0428110760699569,0.48,"2"
"Up","Srf",48,5,"serum response factor","regulation of neurogenesis; forebrain development; positive regulation of cell projection organization; striated muscle tissue development; muscle cell differentiation; actin filament organization; sensory system development; visual system development; eye development; regulation of cell growth; positive regulation of nervous system development; cognition; regulation of developmental growth; cell-substrate adhesion; regulation of cellular component size; epithelial tube morphogenesis; camera-type eye development; learning or memory; developmental growth involved in morphogenesis; developmental cell growth; positive regulation of neurogenesis; negative regulation of locomotion; telencephalon development; connective tissue development; negative regulation of cell motility; negative regulation of cell migration; positive regulation of growth; heart morphogenesis; respiratory system development; respiratory tube development; cell-matrix adhesion; lung development; endothelial cell migration; morphogenesis of a branching structure; actomyosin structure organization; neuron projection extension; regulation of cell size; positive regulation of developmental growth; neuron migration; regulation of axonogenesis; cardiac chamber development; axon extension; regulation of extent of cell growth; artery development; contractile actin filament bundle assembly; stress fiber assembly; regulation of axon extension; aorta development",0.0509091458580757,0.462,"17"
"Up","Gsk3b",46,6,"glycogen synthase kinase 3 beta","regulation of neurogenesis; forebrain development; positive regulation of cell projection organization; regulation of synapse structure or activity; striated muscle tissue development; muscle cell differentiation; regulation of synapse organization; phosphorylation; regulation of cell growth; positive regulation of nervous system development; cognition; regulation of developmental growth; Wnt signaling pathway; cell-substrate adhesion; regulation of cellular component size; regulation of cell junction assembly; synapse assembly; learning or memory; protein phosphorylation; dendrite development; developmental growth involved in morphogenesis; developmental cell growth; positive regulation of neurogenesis; negative regulation of locomotion; telencephalon development; mesenchyme development; negative regulation of cell motility; negative regulation of cell migration; positive regulation of growth; mesenchymal cell differentiation; cell-matrix adhesion; regulation of synapse assembly; regulation of cell-substrate adhesion; negative regulation of cell projection organization; regulation of neuron differentiation; neuron projection extension; regulation of cell size; positive regulation of developmental growth; neuron migration; regulation of axonogenesis; dendrite morphogenesis; negative regulation of neuron projection development; negative regulation of nervous system development; axon extension; regulation of extent of cell growth; regulation of axon extension",0.00922446219499307,0.8035,"16"
"Up","Lrp1",45,7,"low density lipoprotein receptor-related protein 1","regulation of neurogenesis; positive regulation of cell projection organization; regulation of cell growth; positive regulation of nervous system development; regulation of developmental growth; Wnt signaling pathway; cell-substrate adhesion; regulation of cellular component size; regulation of cell junction assembly; regulation of actin filament-based process; gliogenesis; developmental growth involved in morphogenesis; regulation of cellular response to growth factor stimulus; extracellular matrix organization; external encapsulating structure organization; extracellular structure organization; developmental cell growth; positive regulation of neurogenesis; negative regulation of locomotion; regulation of actin cytoskeleton organization; negative regulation of cell motility; axon guidance; neuron projection guidance; negative regulation of cell migration; positive regulation of growth; response to transforming growth factor beta; regulation of transmembrane receptor protein serine/threonine kinase signaling pathway; cell-matrix adhesion; vascular process in circulatory system; regulation of cell-substrate adhesion; negative regulation of cell projection organization; positive regulation of neuron projection development; neuron projection extension; regulation of cell size; positive regulation of developmental growth; regulation of axonogenesis; cardiac chamber development; negative regulation of neuron projection development; axon extension; regulation of extent of cell growth; artery development; cell-substrate junction organization; cell-substrate junction assembly; regulation of axon extension; aorta development",0.185817667045681,0.0605,"10"
"Up","Slit2",45,8,"slit guidance ligand 2","regulation of neurogenesis; small GTPase-mediated signal transduction; forebrain development; regulation of synapse structure or activity; actin filament organization; regulation of synapse organization; regulation of cell growth; positive regulation of nervous system development; regulation of developmental growth; renal system development; regulation of cellular component size; regulation of cell junction assembly; regulation of actin filament-based process; kidney development; epithelial tube morphogenesis; regulation of supramolecular fiber organization; synapse assembly; developmental growth involved in morphogenesis; regulation of cellular response to growth factor stimulus; developmental cell growth; negative regulation of locomotion; regulation of actin cytoskeleton organization; telencephalon development; negative regulation of cell motility; axon guidance; neuron projection guidance; negative regulation of cell migration; regulation of small GTPase mediated signal transduction; heart morphogenesis; central nervous system neuron differentiation; regulation of actin filament organization; vascular process in circulatory system; regulation of synapse assembly; endothelial cell migration; negative regulation of cell projection organization; morphogenesis of a branching structure; neuron projection extension; regulation of cell size; regulation of axonogenesis; cardiac chamber development; negative regulation of neuron projection development; negative regulation of nervous system development; axon extension; regulation of extent of cell growth; regulation of axon extension",0.000153309877308772,0.965,"5"
"Up","Rtn4",42,9,"reticulon 4","regulation of neurogenesis; small GTPase-mediated signal transduction; forebrain development; positive regulation of cell projection organization; regulation of synapse structure or activity; regulation of synapse organization; regulation of cell growth; positive regulation of nervous system development; regulation of developmental growth; regulation of cellular component size; regulation of cell junction assembly; gliogenesis; postsynapse organization; synapse assembly; developmental growth involved in morphogenesis; developmental cell growth; positive regulation of neurogenesis; telencephalon development; mesenchyme development; positive regulation of growth; regulation of small GTPase mediated signal transduction; regulation of cell morphogenesis; heart morphogenesis; ameboidal-type cell migration; mesenchymal cell differentiation; regulation of synapse assembly; negative regulation of cell projection organization; positive regulation of neuron projection development; regulation of neuron differentiation; morphogenesis of a branching structure; neuron projection extension; regulation of cell size; positive regulation of developmental growth; regulation of axonogenesis; regulation of postsynapse organization; negative regulation of neuron projection development; negative regulation of nervous system development; axon extension; regulation of extent of cell growth; artery development; postsynapse assembly; regulation of axon extension",0.0012822403705961,0.965,"11"
"Up","Smad3",42,10,"SMAD family member 3","regulation of synapse structure or activity; striated muscle tissue development; actin filament organization; regulation of synapse organization; sensory system development; visual system development; eye development; regulation of cell growth; response to radiation; renal system development; Wnt signaling pathway; cell-substrate adhesion; regulation of cell junction assembly; regulation of actin filament-based process; kidney development; epithelial tube morphogenesis; camera-type eye development; regulation of supramolecular fiber organization; postsynapse organization; dendrite development; regulation of cellular response to growth factor stimulus; extracellular matrix organization; external encapsulating structure organization; extracellular structure organization; regulation of actin cytoskeleton organization; mesenchyme development; connective tissue development; heart morphogenesis; ameboidal-type cell migration; response to transforming growth factor beta; regulation of transmembrane receptor protein serine/threonine kinase signaling pathway; mesenchymal cell differentiation; regulation of actin filament organization; cell-matrix adhesion; regulation of cell-substrate adhesion; actomyosin structure organization; dendrite morphogenesis; regulation of postsynapse organization; cell-substrate junction organization; contractile actin filament bundle assembly; stress fiber assembly; cell-substrate junction assembly",0.0329415044833947,0.457,"9"
